[INFO] 2024-04-17 13:50:40,006 basehttp: "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:50:40,008 basehttp: "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
[INFO] 2024-04-17 13:50:40,286 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
[INFO] 2024-04-17 13:50:40,289 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
[ERROR] 2024-04-17 13:53:00,681 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 500 153140
[ERROR] 2024-04-17 13:53:46,383 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 500 148199
[ERROR] 2024-04-17 13:54:09,676 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 500 148199
[INFO] 2024-04-17 13:54:17,937 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 200 22187
[INFO] 2024-04-17 13:54:18,467 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:54:51,311 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 200 27855
[INFO] 2024-04-17 13:54:53,037 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:55:50,654 basehttp: "POST /admin/jobs/jobsmodel/add/ HTTP/1.1" 302 0
[INFO] 2024-04-17 13:55:50,924 basehttp: "GET /admin/jobs/jobsmodel/ HTTP/1.1" 200 17413
[INFO] 2024-04-17 13:55:51,199 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:55:51,219 basehttp: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[INFO] 2024-04-17 13:56:07,229 basehttp: "GET /admin/jobs/jobsmodel/ HTTP/1.1" 200 16753
[INFO] 2024-04-17 13:56:07,458 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:56:44,876 basehttp: "GET /admin/jobs/jobsmodel/6e6c33a2-00df-44a8-bb7e-340d8c256dcd/change/ HTTP/1.1" 200 28687
[INFO] 2024-04-17 13:56:45,222 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:56:46,865 basehttp: "GET /admin/jobs/jobsmodel/ HTTP/1.1" 200 16753
[INFO] 2024-04-17 13:56:47,178 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:56:49,308 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 200 27855
[INFO] 2024-04-17 13:56:49,629 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:58:30,767 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 200 27840
[INFO] 2024-04-17 13:58:31,045 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 14:05:03,327 basehttp: "GET /admin/jobs/jobsmodel/add/ HTTP/1.1" 200 27840
[INFO] 2024-04-17 14:05:04,200 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[WARNING] 2024-04-17 14:06:09,447 basehttp: "GET /api/ HTTP/1.1" 404 2898
[INFO] 2024-04-17 14:06:14,357 basehttp: "GET /schema/swagger HTTP/1.1" 301 0
[INFO] 2024-04-17 14:06:14,579 basehttp: "GET /schema/swagger/ HTTP/1.1" 200 4645
[INFO] 2024-04-17 14:06:15,568 basehttp: "GET /schema/ HTTP/1.1" 200 23429
[INFO] 2024-04-17 14:10:17,820 basehttp: "GET /admin/jobs/jobsmodel/ HTTP/1.1" 200 16753
[INFO] 2024-04-17 14:10:18,308 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 14:33:59,678 basehttp: "GET /schema/swagger/ HTTP/1.1" 200 4645
[INFO] 2024-04-17 14:34:00,292 basehttp: "GET /schema/ HTTP/1.1" 200 23429
[INFO] 2024-04-17 14:37:54,946 basehttp: "GET /admin/jobs/jobsmodel/ HTTP/1.1" 200 16753
[INFO] 2024-04-17 14:37:55,303 basehttp: "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,308 basehttp: "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,326 basehttp: "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,341 basehttp: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,359 basehttp: "GET /static/vendor/select2/css/select2.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,366 basehttp: "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,377 basehttp: "GET /static/modeltranslation/css/tabbed_translation_fields.css HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,364 basehttp: "GET /static/admin/js/core.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,380 basehttp: "GET /static/modeltranslation/js/force_jquery.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,393 basehttp: "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,393 basehttp: "GET /static/modeltranslation/js/tabbed_translation_fields.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,406 basehttp: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,420 basehttp: "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,438 basehttp: "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,444 basehttp: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,475 basehttp: "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,489 basehttp: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,505 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 14:37:55,610 basehttp: "GET /static/vendor/select2/js/select2.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,614 basehttp: "GET /static/jazzmin/js/change_list.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,618 basehttp: "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,628 basehttp: "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,632 basehttp: "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,869 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
[INFO] 2024-04-17 14:37:55,872 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
[INFO] 2024-04-17 14:38:00,863 basehttp: "GET /admin/jobs/jobsmodel/ HTTP/1.1" 200 16753
[INFO] 2024-04-17 14:38:01,030 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
