[INFO] 2024-04-15 10:21:28,291 autoreload: Watching for file changes with StatReloader
[DEBUG] 2024-04-15 10:21:28,704 autoreload: File /usr/local/lib/python3.11/re/_casefix.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,705 autoreload: File /venv/lib/python3.11/site-packages/django/utils/encoding.py first seen with mtime 1713121066.2150733
[DEBUG] 2024-04-15 10:21:28,705 autoreload: File /usr/local/lib/python3.11/asyncio/format_helpers.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,706 autoreload: File /usr/local/lib/python3.11/xml/dom/xmlbuilder.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,706 autoreload: File /venv/lib/python3.11/site-packages/django/db/models/lookups.py first seen with mtime 1713121066.1650712
[DEBUG] 2024-04-15 10:21:28,706 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1713121066.1250696
[DEBUG] 2024-04-15 10:21:28,707 autoreload: File /venv/lib/python3.11/site-packages/django/utils/deconstruct.py first seen with mtime 1713121066.2150733
[DEBUG] 2024-04-15 10:21:28,707 autoreload: File /venv/lib/python3.11/site-packages/sqlparse/engine/__init__.py first seen with mtime 1713121064.6850095
[DEBUG] 2024-04-15 10:21:28,708 utils: (0.066) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
[DEBUG] 2024-04-15 10:21:28,709 autoreload: File /app/workflow/urls.py first seen with mtime 1708611971.136338
[DEBUG] 2024-04-15 10:21:28,710 autoreload: File /venv/lib/python3.11/site-packages/django/core/wsgi.py first seen with mtime 1713121066.13507
[DEBUG] 2024-04-15 10:21:28,710 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/auth/apps.py first seen with mtime 1713121065.65505
[DEBUG] 2024-04-15 10:21:28,711 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/auth/tokens.py first seen with mtime 1713121065.65505
[DEBUG] 2024-04-15 10:21:28,712 autoreload: File /venv/lib/python3.11/site-packages/django/forms/__init__.py first seen with mtime 1713121066.1750717
[DEBUG] 2024-04-15 10:21:28,712 autoreload: File /venv/lib/python3.11/site-packages/hpack/struct.py first seen with mtime 1713121064.3849971
[DEBUG] 2024-04-15 10:21:28,713 autoreload: File /venv/lib/python3.11/site-packages/django/core/management/color.py first seen with mtime 1713121066.1450703
[DEBUG] 2024-04-15 10:21:28,713 autoreload: File /venv/lib/python3.11/site-packages/sqlparse/tokens.py first seen with mtime 1713121064.6850095
[DEBUG] 2024-04-15 10:21:28,714 utils: (0.003) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
[DEBUG] 2024-04-15 10:21:28,715 autoreload: File /app/workflow/translation.py first seen with mtime 1713120874.7110305
[DEBUG] 2024-04-15 10:21:28,716 autoreload: File /venv/lib/python3.11/site-packages/corsheaders/defaults.py first seen with mtime 1713121067.9644778
[DEBUG] 2024-04-15 10:21:28,716 autoreload: File /venv/lib/python3.11/site-packages/sqlparse/utils.py first seen with mtime 1713121064.6850095
[DEBUG] 2024-04-15 10:21:28,717 autoreload: File /venv/lib/python3.11/site-packages/django/views/generic/base.py first seen with mtime 1713121066.2150733
[DEBUG] 2024-04-15 10:21:28,717 autoreload: File /venv/lib/python3.11/site-packages/httpcore/_sync/http2.py first seen with mtime 1713121065.295035
[DEBUG] 2024-04-15 10:21:28,718 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/auth/models.py first seen with mtime 1713121065.65505
